name,category,weight
MSR Alpine Nesting Bowl,Camping Bowls,85
MSR Alpine Dish Brush/Scraper,Cooking Utensils,22
Open Country Aluminum Pot Lifter,Pot Lifters,56
MSR XGK Expedition Service Kit,Stove Maintenance Kits,120
Stanley Stainless-Steel Shot Glass Set,Camping Glasses,158
Evernew Ceramic Pot 18,Cook Pots,388
KUPILKA Classic Cup,Camping Cups,79
"Lodge Seasoned Steel Skillet - 12""",Frying Pans,1882
GSI Outdoors Stemless Red Wine Glass,Camping Glasses,48
REI Coolbox Personal Cooler - Large,Camp Coolers,164
Snow Peak HotLips - Package of 2,Cookware Accessories,8
Jetboil Flash Companion Cup,Cook Pots,246
Evernew Ceramic Pot 15,Cook Pots,257
REI Campware Backpacker Cookset - Medium,Cooksets,532
REI Recycled Camp Mug - 12 fl. oz.,Camping Mugs,189
Open Country Nonstick Griddle,Griddles,1088
Coleman Chillers Day Pack Hard Ice Substitute - Large,Ice Substitutes,255
Ticla Camp Hero Tarp,Tarps,708
Jetboil Sol Aluminum Companion Cup - 0.8 Liter,Cook Pots,218
Open Country Scout Mess Kit,Cooksets,396
Coleman 5-Foot Propane Adapter Hose,Propane Tank Accessories,34
REI Campware Long Spoon,Camping Spoons,14
GSI Outdoors Nesting Red Wine Glass,Camping Glasses,79
Coghlan's 12-Egg Holder,Egg Holders,113
REI Campware Spork,Camping Sporks,14
REI Tripod Mug - 18 fl. oz. - 2015,Camping Mugs,144
Camp Chef Extendable Roasting Stick,Campfire Cookware,164
"REI Campware Nonstick Frypan - 12""",Frying Pans,793
REI Campware Cutting Board - Large,Camp Cutting Boards,158
MSR Trail Lite Duo Coffee Press,Camp Coffee Presses,70
REI Coffee Sleeve - 15 fl. oz.,Camping Mugs,201
REI Campware Cup,Camping Cups,70
REI Campware Divided Plate,Camping Plates,170
Soto Fill Adaptor,Fuel Canisters,25
Jetboil Crunchit Recycling Tool,Backpacking Stove Accessories,28
Coghlan's Camp Fork,Camping Forks,249
REI Campware Soup Spoon,Camping Spoons,8
Coghlan's Fold-Away Food Cover,Picnic Accessories,56
REI Coolcube Personal Cooler,Camp Coolers,172
GSI Outdoors Pack Spoon/Spatula Set,Cooking Utensils,0
GSI Outdoors Booster Salt and Pepper Shaker,Salt and Pepper Shakers,45
MSR Child-Resistant Fuel Bottle Cap,Camping Stove Accessories,28
Jetboil Maintenance Kit,Stove Maintenance Kits,7
Lodge Silicone Hot Handle Holder,Pot Lifters,85
Columbia River Eat'N Tool XL,Camping Sporks,76
Innate MC2 Stainless-Steel Food Container - 2014,Lunch Boxes and Bags,240
KUPILKA Bowl,Camping Bowls,178
Light My Fire Spork Little - Package of 3,Camping Sporks,0
Power Practical PowerPot V Recharging Cook Pot,Cook Pots,343
MSR Alpine Spatula,Cooking Utensils,19
REI Campware Knife,Camping Knives,8
Coghlan's Camp Stove Toaster,Campfire Cookware,170
Coleman Pump Repair Kit,Stove Maintenance Kits,45
