name,category,weight
Marmot Drop Line 1/2 Zip - Men's - 2014,Men's Fleece Jackets,360
Mountain Hardwear Toasty Tweed Fleece Jacket - Men's - 2014,Men's Fleece Jackets,481
Mountain Hardwear Toasty Tweed Fleece Coat - Women's - 2014,Women's Fleece Jackets,623
Outdoor Research Rocky Mountain High Gaiters,Gaiters,192
Mountain Hardwear Plasmic Ion Printed Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,368
Mountain Hardwear Mountain Tech II Fleece Jacket - Men's,Men's Fleece Jackets,538
Marmot Reactor Fleece Jacket - Men's,Men's Fleece Jackets,396
REI Revelcloud Jacket - Men's,Men's Synthetic Insulation Jackets,430
Marmot Delphi Rain Jacket - Women's - 2015,Women's Multi-Sport Rain Jackets,334
The North Face Canyonlands Full-Zip Fleece Hoodie - Men's,Men's Fleece Jackets,479
The North Face Reflective Resolve Rain Jacket  - Girls' - 2015,Kids' Multi-Sport Rain Jackets,368
Marmot Calen Hoodie Jacket - Men's,Men's Synthetic Insulation Jackets,640
Arc'teryx Atom LT Jacket - Women's,Women's Synthetic Insulation Jackets,280
Arc'teryx Atom LT Jacket - Men's,Men's Synthetic Insulation Jackets,326
Black Diamond Hot Forge Jacket - Women's - 2015,Women's Down Jackets,323
Marmot Sol Down Jacket - Women's - 2014,Women's Down Jackets,510
The North Face Apex Bionic Soft-Shell Jacket - Boys',Kids' Soft-Shell Jackets,317
Marmot Greenland Baffled Down Jacket - Men's,Men's Down Jackets,878
Marmot Ramble Component 3-in-1 Jacket - Women's,Women's Synthetic Insulation Jackets,623
Mountain Hardwear Kelvinator Down Jacket - Men's - 2014,Men's Down Jackets,510
Patagonia Super Alpine Jacket - Men's,Men's Multi-Sport Rain Jackets,430
Mountain Hardwear Ratio Down Jacket - Men's - 2014,Men's Down Jackets,425
Columbia Mighty Lite III Jacket - Women's,Women's Synthetic Insulation Jackets,481
REI Carbon River Jacket,Men's Soft-Shell Jackets,538
Marmot Nina Hoody - Women's - 2014,Women's Fleece Jackets,570
Marmot Lassen Fleece Jacket - Girls',Kids' Fleece Jackets,155
Arc'teryx Darter Jacket - Men's,Men's Running Jackets,280
Marmot Quasar Jacket - Women's - 2014,Women's Down Jackets,221
Marmot Spire Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,708
Marmot Estes Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,28
Mountain Hardwear Monkey Man Grid Fleece Jacket - Men's - 2014,Men's Fleece Jackets,396
The North Face Apex Bionic Jacket - Men's - 2015,Men's Soft-Shell Jackets,28
Marmot Estes Soft-Shell Jacket - Women's,Women's Soft-Shell Jackets,416
The North Face FuseForm Dot Matrix Jacket - Men's,Men's Multi-Sport Rain Jackets,351
Mammut Keiko Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,300
Outdoor Research Floodlight Down Jacket - Women's,Women's Down Jackets,513
Mountain Hardwear Monkey Woman Grid Jacket - Women's - 2014,Women's Fleece Jackets,340
Mountain Hardwear Khalessi Fleece Jacket - Women's - 2015,Women's Fleece Jackets,450
Mountain Hardwear Toasty Twill Full Zip Hoodie - Men's - 2014,Men's Fleece Jackets,28
Sierra Designs Hurricane Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,311
Arc'teryx Zeta LT Hybrid Jacket - Women's,Women's Multi-Sport Rain Jackets,348
Eider Tibesti Jacket - Men's,Men's Multi-Sport Rain Jackets,411
Patagonia R1 Pullover - Women's,Women's Fleece Jackets,337
Sierra Designs DriDown Rain Jacket - Women's - 2014,Women's Down Jackets,453
REI Trail Light Gaiters,Gaiters,170
Marmot Kirwin Jacket - Men's - 2014,Men's Multi-Sport Rain Jackets,793
Patagonia Adze Hybrid Hoodie - Men's,Men's Soft-Shell Jackets,717
Sierra Designs DriDown Sweater - Men's - 2014,Men's Down Jackets,311
Marmot Variant Insulated Hybrid Jacket - Men's - 2015,Men's Synthetic Insulation Jackets,396
SmartWool PhD SmartLoft Full-Zip Hoodie Jacket - Women's - 2014,Women's Synthetic Insulation Jackets,428
Mountain Hardwear Strecker Jacket - Men's - 2014,Men's Fleece Jackets,28
The North Face ThermoBall Pullover - Men's - 2015,Men's Synthetic Insulation Jackets,328
Mammut Orford Soft-Shell Hooded Jacket - Men's,Men's Soft-Shell Jackets,652
Arc'teryx Arenite Hoodie - Women's,Women's Fleece Jackets,411
Mountain Hardwear Exposure II Parka - Men's - 2014,Men's Multi-Sport Rain Jackets,680
Mammut Sahale Tech Fleece Jacket - Men's,Men's Fleece Jackets,411
Marmot Ares Down Jacket - Men's,Men's Down Jackets,439
Arc'teryx Tenquille Soft-Shell Hoodie - Women's,Women's Soft-Shell Jackets,255
Marmot Quasar Hoodie Down Jacket - Men's,Men's Down Jackets,371
Black Diamond Induction Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,496
Patagonia Ultralight Down Hoodie - Men's,Men's Down Jackets,297
